,Product Brand,Product Name,Price,Return/Exchange,Product Availability,Delivery Type,Product URL
0,Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","₹4,499",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkyMjg1MzUxMDMwMDg5OjE3MTE3OTkxNTY6c3BfYXRmOjMwMDAxNTUwODk1NDEzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1711799156%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","₹5,499",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkyMjg1MzUxMDMwMDg5OjE3MTE3OTkxNTY6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1711799156%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,MOCKING BIRD,MOCKING BIRD 40 inch Acoustic Guitar for Beginners musical instrument for Adults premium Wood Curved Cutaway Design with professional sound & carry bag 5 picks string for beige,"₹5,488",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkyMjg1MzUxMDMwMDg5OjE3MTE3OTkxNTY6c3BfYXRmOjMwMDE0MzEwNjQ5NjAzMjo6MDo6&url=%2FMOCKING-BIRD-Beginners-instrument-professional%2Fdp%2FB0CR9XH4QH%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1711799156%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","₹9,999",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkyMjg1MzUxMDMwMDg5OjE3MTE3OTkxNTY6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1711799156%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,JUAREZ,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap","₹1,739",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4&dib_tag=se&keywords=guitar&qid=1711799156&sr=8-5
5,Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","₹2,299",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4&dib_tag=se&keywords=guitar&qid=1711799156&sr=8-6
6,JUAREZ,"Juârez Acoustic Guitar Kit, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","₹1,949",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_7?dib=eyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4&dib_tag=se&keywords=guitar&qid=1711799156&sr=8-7
7,Radhe Flutes,Radhe Flutes | Right Handed C Natural With Velvet Cover | Tuned With Tanpura A=440Hz | PVC Fiber,₹399,Non-Returnable,In stock,FREE delivery,https://aax-eu.amazon.in/x/c/RD72N_TT5plWNckxePjDZFMAAAGOjy4_6wMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICABYwMo/https://www.amazon.in/Radhe-Flutes-Natural-Bansuri-Middle/dp/B07T35ZBHB/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.4fe35c1d-da6a-41a4-967c-7a2315a8b22e%3Aamzn1.sym.4fe35c1d-da6a-41a4-967c-7a2315a8b22e&cv_ct_cx=guitar&dib=eyJ2IjoiMSJ9.RkxRkdLFro_AAXvr06nUqw.iHVZ3GqH5w2NrLdWwRQONVVxGNQu3k6kCVoSfp_MzUo&dib_tag=se&keywords=guitar&pd_rd_i=B07T35ZBHB&pd_rd_r=bff028c4-9600-49eb-ad9e-bdff247ca436&pd_rd_w=I2Qwa&pd_rd_wg=pA7oV&pf_rd_p=4fe35c1d-da6a-41a4-967c-7a2315a8b22e&pf_rd_r=RGVMPFNZ6542HAPGTKP4&qid=1711799156&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351
8,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black (Acoustic Guitar Kit, ASH)","₹1,999",7 days Replacement,Available to ship in 1-2 days,FREE delivery,https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_8?dib=eyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4&dib_tag=se&keywords=guitar&qid=1711799156&sr=8-8
9,YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","₹7,399",7 days Replacement,In stock,FREE delivery,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.uoqlZtlO4cDlToI9GEHUbP5L67gCEfUIyl7SR_f5eH3hDgpYzu7Q1g4BKIrcfJog05NFP1jXV4p7hVMruVxbmCb5uPJUqGh_mxrmcVg12vEwdJ0ce8AAd-C7_6M-Gc7vNW_QdIsX5G-hYcd11Lli6YgvVcwQpe8Jl6P5PC47-zUL9We61yBPz5cV0354sv8qyTdvV6d9jXEyERrz5AWjadpHdk0lNleVXB8suPb7UDp27HRmSqpdMIiqBlT-Dse1dH24kPiDpmhte-Xi1nhGDmsaJ_trwEykysCAbsTOV0s.kKF0vj5x7GmxUkcVVHNMjZtPE3jCC3GBFjhoTaCaBn4&dib_tag=se&keywords=guitar&qid=1711799156&sr=8-9
