,Smartphone Brand,Name,Colour,RAM,ROM,Primary Camera,Secondary Camera,Display,Battery,Price,URL
0,Tecno,Camon 20s Pro,5G (Dark,8 GB RAM,256 GB ROM,64MP,64MP,16.94cm (6.67inch),5000 mAh,"₹19,896",https://www.flipkart.com/tecno-camon-20s-pro-5g-dark-welkin-256-gb/p/itm2ff0da6892b8d?pid=MOBGWSF3Q9MNFTRH&lid=LSTMOBGWSF3Q9MNFTRHBBAOTP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_nUZze9H7jzE0Y4FEfnIOmaEJ76e0h6hJtsk8JYKp_ywSyRUkPg-n8_ceZoP0QnOew2OIQ6_bGwWYsFId007lmQ%3D%3D&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
1,OnePlus,Nord CE 3,Lite 5G,8 GB RAM,256 GB ROM,108MP,Primary,17.07cm (6.72inch),5000 mAh,"₹19,435",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRSPSGNOG&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
2,OnePlus,Nord CE 3,Lite 5G,8 GB RAM,128 GB ROM,108MP,Primary,17.07cm (6.72inch),5000 mAh,"₹17,334",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZ7OYKFP&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
3,OnePlus,Nord CE 3,Lite 5G,8 GB RAM,128 GB ROM,108MP,Primary,17.07cm (6.72inch),5000 mAh,"₹17,342",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNNZJMSB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGZJ42KHUZZKMN.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
4,OnePlus,Nord CE 3,Lite 5G,8 GB RAM,256 GB ROM,108MP,Primary,17.07cm (6.72inch),5000 mAh,"₹19,817",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAVDNIED&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGZJ45PS4AQ7BA.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
5,OnePlus,Nord CE3 5G,Aqua Surge,8 GB RAM,128 GB ROM,50MP,16MP,17.02cm (6.7inch),5000 mAh,"₹23,543",https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-128-gb/p/itm95b25bfcca817?pid=MOBGS44DBDZBTUWS&lid=LSTMOBGS44DBDZBTUWS1HQHTA&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGS44DBDZBTUWS.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
6,OnePlus,Nord CE3 5G,Grey Shimmer,8 GB RAM,128 GB ROM,50MP,Primary,17.02cm (6.7inch),5000 mAh,"₹23,434",https://www.flipkart.com/oneplus-nord-ce3-5g-grey-shimmer-128-gb/p/itm95b25bfcca817?pid=MOBGS44NJJVFWSHU&lid=LSTMOBGS44NJJVFWSHUTPZDB6&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGS44NJJVFWSHU.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
7,OnePlus,Nord 3 5G,Misty Green,16 GB RAM,256 GB ROM,50MP,Primary,17.12cm (6.74inch),5000 mAh,"₹37,630",https://www.flipkart.com/oneplus-nord-3-5g-misty-green-256-gb/p/itm5fc87afce35dc?pid=MOBGRK3284RMGYSX&lid=LSTMOBGRK3284RMGYSXGW6X0U&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGRK3284RMGYSX.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
8,OnePlus,Nord 3 5G,Tempest Gray,16 GB RAM,256 GB ROM,50MP,Primary,17.12cm (6.74inch),5000 mAh,"₹36,000",https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-256-gb/p/itm5fc87afce35dc?pid=MOBGRK35QGGTMTZ3&lid=LSTMOBGRK35QGGTMTZ3WDSRAQ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGRK35QGGTMTZ3.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
9,OnePlus,Nord 3 5G,Misty Green,8 GB RAM,128 GB ROM,50MP,Primary,17.12cm (6.74inch),5000 mAh,"₹26,124",https://www.flipkart.com/oneplus-nord-3-5g-misty-green-128-gb/p/itm5fc87afce35dc?pid=MOBGRKA2GBGGS6QZ&lid=LSTMOBGRKA2GBGGS6QZXHZHME&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGRKA2GBGGS6QZ.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
10,OnePlus,Nord 3 5G,Tempest Gray,8 GB RAM,128 GB ROM,50MP,50MP,17.12cm (6.74inch),5000 mAh,"₹25,609",https://www.flipkart.com/oneplus-nord-3-5g-tempest-gray-128-gb/p/itm5fc87afce35dc?pid=MOBGRK2VXCKBADB5&lid=LSTMOBGRK2VXCKBADB5XKEHCX&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGRK2VXCKBADB5.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
11,OnePlus,Nord CE3 5G,Aqua Surge,12 GB RAM,256 GB ROM,50MP,Primary,17.02cm (6.7inch),5000 mAh,"₹28,979",https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-256-gb/p/itm95b25bfcca817?pid=MOBGS45CEU4ZGYWY&lid=LSTMOBGS45CEU4ZGYWYOJ8TR2&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGS45CEU4ZGYWY.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
12,OnePlus,Nord CE 2,Lite 5G,6 GB RAM,128 GB ROM,64MP,16MP,16.74cm (6.59inch),5000 mAh,"₹17,619",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFXEVDZE&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGHBZHB7YJT5HF.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
13,OnePlus,Nord CE 2,Lite 5G,6 GB RAM,128 GB ROM,64MP,16MP,16.74cm (6.59inch),5000 mAh,"₹19,799",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9IP1D4X&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGMFREBAHZQGY9.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
14,OnePlus,Nord CE 2,5G (Bahama,8 GB RAM,128 GB ROM,64MP,Primary,16.33cm (6.43inch),4500 mAh,"₹23,285",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGJMUH64MTF6PK&lid=LSTMOBGJMUH64MTF6PKNK4ESK&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGJMUH64MTF6PK.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
15,OnePlus,Nord CE 2,5G (Bahama,8 GB RAM,128 GB ROM,64MP,Primary,16.33cm (6.43inch),4500 mAh,"₹22,995",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGHHZ2CKB5D4WU&lid=LSTMOBGHHZ2CKB5D4WUSVEMWB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=c3a92783-f869-40db-be55-6c34949703ef.MOBGHHZ2CKB5D4WU.SEARCH&ppt=hp&ppn=homepage&ssid=9inwm6ydkw0000001711801992314&qH=53863d4d978d5074
